"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
12,89.1248,93.128,85.316,5,2071-07-25,2071-07-29,205,7,5,5,2,0,5,5,0,81.2119999999999,1,1,0.99972602739726,55.3434849315068,71.1536823529412,"ny"
13,87.5956129032258,93.9379999999999,82.598,31,2071-08-01,2071-08-31,212,8,31,25,9,0,29,27,0,81.2119999999999,1,1,0.98986301369863,55.3434849315068,71.1536823529412,"ny"
14,83.1335,84.236,82.022,4,2071-09-07,2071-09-10,249,9,4,0,0,0,3,1,0,81.2119999999999,0.992602739726027,0.997534246575343,0.987945205479452,55.3434849315068,71.1536823529412,"ny"
15,82.1075,82.724,81.338,4,2071-09-14,2071-09-17,256,9,4,0,0,0,1,0,0,81.2119999999999,0.988219178082192,0.99041095890411,0.981643835616438,55.3434849315068,71.1536823529412,"ny"
16,86.6798461538461,89.474,82.796,13,2072-06-15,2072-06-27,166,6,13,12,0,0,13,12,1,81.2119999999999,1,1,0.990958904109589,55.3434849315068,71.1536823529412,"ny"
17,85.619,92.372,81.878,18,2072-06-29,2072-07-16,180,6,18,9,3,0,14,12,0,81.2119999999999,0.99972602739726,1,0.986301369863014,55.3434849315068,71.1536823529412,"ny"
18,81.869,82.2739999999999,81.464,2,2072-07-27,2072-07-28,208,7,2,0,0,0,0,0,0,81.2119999999999,0.986301369863014,0.989041095890411,0.982465753424658,55.3434849315068,71.1536823529412,"ny"
19,86.6268235294117,93.8839999999998,81.932,17,2072-07-31,2072-08-16,212,7,17,11,2,0,15,14,0,81.2119999999999,1,1,0.986575342465753,55.3434849315068,71.1536823529412,"ny"
20,85.3025,86.378,84.0919999999999,8,2072-08-22,2072-08-29,234,8,8,6,0,0,8,8,0,81.2119999999999,0.99972602739726,1,0.997260273972603,55.3434849315068,71.1536823529412,"ny"
21,82.6412,84.182,81.518,5,2072-09-08,2072-09-12,251,9,5,0,0,0,2,1,0,81.2119999999999,0.98986301369863,0.997534246575343,0.982739726027397,55.3434849315068,71.1536823529412,"ny"
22,82.904,85.946,81.518,9,2073-06-17,2073-06-25,167,6,9,1,0,0,6,2,1,81.2119999999999,0.990958904109589,1,0.982739726027397,55.3434849315068,71.1536823529412,"ny"
23,85.3385,86.7020000000001,83.0839999999999,4,2073-06-30,2073-07-03,180,6,4,3,0,0,4,3,0,81.2119999999999,0.99972602739726,1,0.992054794520548,55.3434849315068,71.1536823529412,"ny"
24,83.543,84.794,82.292,2,2073-07-06,2073-07-07,186,7,2,0,0,0,1,1,0,81.2119999999999,0.994246575342466,0.999178082191781,0.989041095890411,55.3434849315068,71.1536823529412,"ny"
