"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
29,86.666,87.512,85.82,2,2076-05-30,2076-05-31,150,5,2,2,0,0,1,0,1,84.25436,0.988767123287671,0.991506849315068,0.986849315068493,49.6844378082192,67.2960352941176,"balt"
30,92.162,94.838,87.4760000000001,3,2076-06-05,2076-06-07,156,6,3,3,2,0,3,2,0,84.25436,0.998082191780822,0.999452054794521,0.991232876712329,49.6844378082192,67.2960352941176,"balt"
31,90.1355,95.648,87.5480000000001,8,2076-06-30,2076-07-07,181,6,8,8,3,1,8,3,0,84.25436,0.995890410958904,0.99972602739726,0.991506849315068,49.6844378082192,67.2960352941176,"balt"
32,87.062,88.34,85.1899999999999,3,2076-07-21,2076-07-23,202,7,3,3,0,0,2,0,0,84.25436,0.99041095890411,0.992876712328767,0.984657534246575,49.6844378082192,67.2960352941176,"balt"
33,86.405,86.432,86.378,2,2076-08-01,2076-08-02,213,8,2,2,0,0,0,0,0,84.25436,0.988493150684931,0.988493150684931,0.988493150684931,49.6844378082192,67.2960352941176,"balt"
34,93.3665,96.296,92.102,4,2076-08-15,2076-08-18,227,8,4,4,4,1,4,4,0,84.25436,0.998904109589041,0.99972602739726,0.998082191780822,49.6844378082192,67.2960352941176,"balt"
35,88.2769999999999,89.9239999999999,86.6299999999999,2,2077-05-24,2077-05-25,143,5,2,2,0,0,1,1,1,84.25436,0.992876712328767,0.995342465753425,0.988493150684931,49.6844378082192,67.2960352941176,"balt"
36,95.0719999999999,99.95,86.36,4,2077-06-05,2077-06-08,155,6,4,4,3,3,3,3,0,84.25436,0.999452054794521,1,0.988493150684931,49.6844378082192,67.2960352941176,"balt"
37,86.423,88.268,84.578,2,2077-06-23,2077-06-24,173,6,2,1,0,0,1,0,0,84.25436,0.988493150684931,0.992876712328767,0.981095890410959,49.6844378082192,67.2960352941176,"balt"
38,93.986,99.464,88.7899999999999,6,2077-07-05,2077-07-10,185,7,6,6,4,3,6,4,0,84.25436,0.998904109589041,1,0.993698630136986,49.6844378082192,67.2960352941176,"balt"
39,89.3705,93.056,84.5239999999999,4,2077-08-02,2077-08-05,213,8,4,3,2,0,3,2,0,84.25436,0.994794520547945,0.998904109589041,0.981095890410959,49.6844378082192,67.2960352941176,"balt"
40,93.4898,99.8419999999999,84.758,10,2077-08-08,2077-08-17,219,8,10,9,8,5,9,8,0,84.25436,0.998904109589041,1,0.982739726027397,49.6844378082192,67.2960352941176,"balt"
41,90.863,99.338,84.2899999999999,6,2077-08-20,2077-08-25,231,8,6,5,2,2,4,3,0,84.25436,0.996986301369863,1,0.98027397260274,49.6844378082192,67.2960352941176,"balt"
42,90.581,96.638,85.874,6,2077-08-29,2077-09-03,240,8,6,6,3,1,5,3,0,84.25436,0.996438356164384,1,0.986849315068493,49.6844378082192,67.2960352941176,"balt"
43,90.338,91.4179999999999,88.664,8,2077-09-18,2077-09-25,260,9,8,8,6,0,8,6,0,84.25436,0.996164383561644,0.996986301369863,0.993424657534247,49.6844378082192,67.2960352941176,"balt"
44,85.9519999999999,87.1879999999999,84.6499999999999,3,2077-09-27,2077-09-29,269,9,3,2,0,0,1,0,0,84.25436,0.987397260273973,0.990684931506849,0.981917808219178,49.6844378082192,67.2960352941176,"balt"
45,89.324,91.76,87.9619999999999,3,2078-06-19,2078-06-21,169,6,3,3,1,0,3,1,1,84.25436,0.993972602739726,0.997808219178082,0.992602739726027,49.6844378082192,67.2960352941176,"balt"
46,91.769,94.244,89.294,2,2078-07-11,2078-07-12,191,7,2,2,1,0,2,1,0,84.25436,0.997808219178082,0.999178082191781,0.993972602739726,49.6844378082192,67.2960352941176,"balt"
